IID	SEX	CP1	CP2	CP3
samp_g0_0	0	25.215	75.84	45.0
samp_g0_1	0	25.215	75.84	45.0
samp_g0_10	0	25.215	75.84	45.0
samp_g0_11	0	25.215	75.84	45.0
samp_g0_12	0	25.215	75.84	45.0
samp_g0_13	0	25.215	75.84	45.0
samp_g0_14	0	25.215	75.84	45.0
samp_g0_15	0	25.215	75.84	45.0
samp_g0_16	0	25.215	75.84	45.0
samp_g0_17	0	25.215	75.84	45.0
samp_g0_18	0	25.215	75.84	45.0
samp_g0_19	0	25.215	75.84	45.0
samp_g0_2	0	25.215	75.84	45.0
samp_g0_20	0	25.215	75.84	45.0
samp_g0_21	0	25.215	75.84	45.0
samp_g0_22	0	25.215	75.84	45.0
samp_g0_23	0	25.215	75.84	45.0
samp_g0_24	0	25.215	75.84	45.0
samp_g0_25	0	25.215	75.84	45.0
samp_g0_26	0	25.215	75.84	45.0
samp_g0_27	0	25.215	75.84	45.0
samp_g0_28	0	25.215	75.84	45.0
samp_g0_29	0	25.215	75.84	45.0
samp_g0_3	0	25.215	75.84	45.0
samp_g0_30	0	25.215	75.84	45.0
samp_g0_31	0	25.215	75.84	45.0
samp_g0_32	0	25.215	75.84	45.0
samp_g0_33	0	25.215	75.84	45.0
samp_g0_34	0	25.215	75.84	45.0
samp_g0_35	0	25.215	75.84	45.0
samp_g0_36	0	25.215	75.84	45.0
samp_g0_37	0	25.215	75.84	45.0
samp_g0_38	0	25.215	75.84	45.0
samp_g0_39	0	25.215	75.84	45.0
samp_g0_4	0	25.215	75.84	45.0
samp_g0_40	0	25.215	75.84	45.0
samp_g0_41	0	25.215	75.84	45.0
samp_g0_42	0	25.215	75.84	45.0
samp_g0_43	0	25.215	75.84	45.0
samp_g0_44	0	25.215	75.84	45.0
samp_g0_45	0	25.215	75.84	45.0
samp_g0_46	0	25.215	75.84	45.0
samp_g0_47	0	25.215	75.84	45.0
samp_g0_48	0	25.215	75.84	45.0
samp_g0_49	0	25.215	75.84	45.0
samp_g0_5	0	25.215	75.84	45.0
samp_g0_50	0	25.215	75.84	45.0
samp_g0_51	0	25.215	75.84	45.0
samp_g0_52	0	25.215	75.84	45.0
samp_g0_53	0	25.215	75.84	45.0
samp_g0_54	0	25.215	75.84	45.0
samp_g0_55	0	25.215	75.84	45.0
samp_g0_56	0	25.215	75.84	45.0
samp_g0_57	0	25.215	75.84	45.0
samp_g0_58	0	25.215	75.84	45.0
samp_g0_59	0	25.215	75.84	45.0
samp_g0_6	0	25.215	75.84	45.0
samp_g0_60	0	25.215	75.84	45.0
samp_g0_61	0	25.215	75.84	45.0
samp_g0_62	0	25.215	75.84	45.0
samp_g0_63	0	25.215	75.84	45.0
samp_g0_64	0	25.215	75.84	45.0
samp_g0_65	0	25.215	75.84	45.0
samp_g0_66	0	25.215	75.84	45.0
samp_g0_67	0	25.215	75.84	45.0
samp_g0_68	0	25.215	75.84	45.0
samp_g0_69	0	25.215	75.84	45.0
samp_g0_7	0	25.215	75.84	45.0
samp_g0_70	0	25.215	75.84	45.0
samp_g0_71	0	25.215	75.84	45.0
samp_g0_72	0	25.215	75.84	45.0
