IID	SEX	CP1	CP2	CP3
samp_0	0	1.25	0.0045	-0.5
samp_1	0	1.25	0.0045	-0.5
samp_2	0	1.25	0.0045	-0.5
samp_3	0	1.25	0.0045	-0.5
samp_4	0	1.25	0.0045	-0.5
samp_5	0	1.25	0.0045	-0.5
samp_6	0	1.25	0.0045	-0.5
samp_7	0	1.25	0.0045	-0.5
samp_8	0	1.25	0.0045	-0.5
samp_9	0	1.25	0.0045	-0.5
samp_10	0	1.25	0.0045	-0.5
samp_11	0	1.25	0.0045	-0.5
samp_12	0	1.25	0.0045	-0.5
samp_13	0	1.25	0.0045	-0.5
samp_14	0	1.25	0.0045	-0.5
samp_15	0	1.25	0.0045	-0.5
samp_16	0	1.25	0.0045	-0.5
samp_17	0	1.25	0.0045	-0.5
samp_18	0	1.25	0.0045	-0.5
samp_19	0	1.25	0.0045	-0.5
samp_20	0	1.25	0.0045	-0.5
samp_21	0	1.25	0.0045	-0.5
samp_22	0	1.25	0.0045	-0.5
samp_23	0	1.25	0.0045	-0.5
samp_24	0	1.25	0.0045	-0.5
samp_25	0	1.25	0.0045	-0.5
samp_26	0	1.25	0.0045	-0.5
samp_27	0	1.25	0.0045	-0.5
samp_28	0	1.25	0.0045	-0.5
samp_29	0	1.25	0.0045	-0.5
samp_30	0	1.25	0.0045	-0.5
samp_31	0	1.25	0.0045	-0.5
samp_32	0	1.25	0.0045	-0.5
samp_33	0	1.25	0.0045	-0.5
samp_34	0	1.25	0.0045	-0.5
samp_35	0	1.25	0.0045	-0.5
samp_36	0	1.25	0.0045	-0.5
samp_37	0	1.25	0.0045	-0.5
samp_38	0	1.25	0.0045	-0.5
samp_39	0	1.25	0.0045	-0.5
samp_40	0	1.25	0.0045	-0.5
samp_41	0	1.25	0.0045	-0.5
samp_42	0	1.25	0.0045	-0.5
samp_43	0	1.25	0.0045	-0.5
samp_44	0	1.25	0.0045	-0.5
samp_45	0	1.25	0.0045	-0.5
samp_46	0	1.25	0.0045	-0.5
samp_47	0	1.25	0.0045	-0.5
samp_48	0	1.25	0.0045	-0.5
samp_49	0	1.25	0.0045	-0.5
samp_50	0	1.25	0.0045	-0.5
samp_51	0	1.25	0.0045	-0.5
samp_52	0	1.25	0.0045	-0.5
samp_53	0	1.25	0.0045	-0.5
samp_54	0	1.25	0.0045	-0.5
samp_55	0	1.25	0.0045	-0.5
samp_56	0	1.25	0.0045	-0.5
samp_57	0	1.25	0.0045	-0.5
samp_58	0	1.25	0.0045	-0.5
samp_59	0	1.25	0.0045	-0.5
samp_60	0	1.25	0.0045	-0.5
samp_61	0	1.25	0.0045	-0.5
samp_62	0	1.25	0.0045	-0.5
samp_63	0	1.25	0.0045	-0.5
samp_64	0	1.25	0.0045	-0.5
samp_65	0	1.25	0.0045	-0.5
samp_66	0	1.25	0.0045	-0.5
samp_67	0	1.25	0.0045	-0.5
samp_68	0	1.25	0.0045	-0.5
samp_69	0	1.25	0.0045	-0.5
samp_70	0	1.25	0.0045	-0.5
samp_71	0	1.25	0.0045	-0.5
samp_72	0	1.25	0.0045	-0.5
samp_73	0	1.25	0.0045	-0.5
samp_74	0	1.25	0.0045	-0.5
samp_75	0	1.25	0.0045	-0.5
samp_76	0	1.25	0.0045	-0.5
samp_77	0	1.25	0.0045	-0.5
samp_78	0	1.25	0.0045	-0.5
samp_79	0	1.25	0.0045	-0.5
samp_80	0	1.25	0.0045	-0.5
samp_81	0	1.25	0.0045	-0.5
samp_82	0	1.25	0.0045	-0.5
samp_83	0	1.25	0.0045	-0.5
samp_84	0	1.25	0.0045	-0.5
samp_85	0	1.25	0.0045	-0.5
samp_86	0	1.25	0.0045	-0.5
samp_87	0	1.25	0.0045	-0.5
samp_88	0	1.25	0.0045	-0.5
samp_89	0	1.25	0.0045	-0.5
samp_90	0	1.25	0.0045	-0.5
samp_91	0	1.25	0.0045	-0.5
samp_92	0	1.25	0.0045	-0.5
samp_93	0	1.25	0.0045	-0.5
samp_94	0	1.25	0.0045	-0.5
samp_95	0	1.25	0.0045	-0.5
samp_96	0	1.25	0.0045	-0.5
samp_97	0	1.25	0.0045	-0.5
samp_98	0	1.25	0.0045	-0.5
samp_99	0	1.25	0.0045	-0.5
samp_100	0	1.25	0.0045	-0.5
samp_101	0	1.25	0.0045	-0.5
samp_102	0	1.25	0.0045	-0.5
samp_103	0	1.25	0.0045	-0.5
samp_104	0	1.25	0.0045	-0.5
samp_105	0	1.25	0.0045	-0.5
samp_106	0	1.25	0.0045	-0.5
samp_107	0	1.25	0.0045	-0.5
samp_108	0	1.25	0.0045	-0.5
samp_109	0	1.25	0.0045	-0.5
samp_110	0	1.25	0.0045	-0.5
samp_111	0	1.25	0.0045	-0.5
samp_112	0	1.25	0.0045	-0.5
samp_113	0	1.25	0.0045	-0.5
samp_114	0	1.25	0.0045	-0.5
samp_115	0	1.25	0.0045	-0.5
samp_116	0	1.25	0.0045	-0.5
samp_117	0	1.25	0.0045	-0.5
samp_118	0	1.25	0.0045	-0.5
samp_119	0	1.25	0.0045	-0.5
samp_120	0	1.25	0.0045	-0.5
samp_121	0	1.25	0.0045	-0.5
samp_122	0	1.25	0.0045	-0.5
samp_123	0	1.25	0.0045	-0.5
samp_124	0	1.25	0.0045	-0.5
samp_125	0	1.25	0.0045	-0.5
samp_126	0	1.25	0.0045	-0.5
samp_127	0	1.25	0.0045	-0.5
samp_128	0	1.25	0.0045	-0.5
samp_129	0	1.25	0.0045	-0.5
samp_130	0	1.25	0.0045	-0.5
