FID	IID	PHENO
sample1	sample1	0
sample2	sample2	0
sample3	sample3	0
sample4	sample4	0
sample5	sample5	0
sample6	sample6	0
sample7	sample7	0
sample8	sample8	0
sample9	sample9	0
sample10	sample10	0
sample11	sample11	0
sample12	sample12	0
sample13	sample13	0
sample14	sample14	0
sample15	sample15	0
sample16	sample16	0
sample17	sample17	0
sample18	sample18	0
sample19	sample19	0
sample20	sample20	0
sample21	sample21	0
sample22	sample22	0
sample23	sample23	0
sample24	sample24	0
sample25	sample25	0
sample26	sample26	0
sample27	sample27	0
sample28	sample28	0
sample29	sample29	0
sample30	sample30	0
sample31	sample31	0
sample32	sample32	0
sample33	sample33	0
sample34	sample34	0
sample35	sample35	0
sample36	sample36	0
sample37	sample37	0
sample38	sample38	0
sample39	sample39	0
sample40	sample40	0
sample41	sample41	0
sample42	sample42	0
sample43	sample43	0
sample44	sample44	0
sample45	sample45	0
sample46	sample46	0
sample47	sample47	0
sample48	sample48	0
sample49	sample49	0
sample50	sample50	0
sample51	sample51	0
sample52	sample52	0
sample53	sample53	0
sample54	sample54	0
sample55	sample55	0
sample56	sample56	0
sample57	sample57	0
sample58	sample58	0
sample59	sample59	0
sample60	sample60	0
sample61	sample61	0
sample62	sample62	0
sample63	sample63	0
sample64	sample64	0
sample65	sample65	0
sample66	sample66	0
sample67	sample67	0
sample68	sample68	0
sample69	sample69	0
sample70	sample70	0
sample71	sample71	0
sample72	sample72	0
sample73	sample73	0
sample74	sample74	0
sample75	sample75	0
sample76	sample76	0
sample77	sample77	0
sample78	sample78	0
sample79	sample79	0
sample80	sample80	0
sample81	sample81	0
sample82	sample82	0
sample83	sample83	0
sample84	sample84	0
sample85	sample85	0
sample86	sample86	0
sample87	sample87	0
sample88	sample88	0
sample89	sample89	0
sample90	sample90	0
sample91	sample91	0
sample92	sample92	0
sample93	sample93	0
sample94	sample94	0
sample95	sample95	0
sample96	sample96	0
sample97	sample97	0
sample98	sample98	0
sample99	sample99	0
sample100	sample100	0
sample101	sample101	1
sample102	sample102	1
sample103	sample103	1
sample104	sample104	1
sample105	sample105	1
sample106	sample106	1
sample107	sample107	1
sample108	sample108	1
sample109	sample109	1
sample110	sample110	1
sample111	sample111	1
sample112	sample112	1
sample113	sample113	1
sample114	sample114	1
sample115	sample115	1
sample116	sample116	1
sample117	sample117	1
sample118	sample118	1
sample119	sample119	1
sample120	sample120	1
sample121	sample121	1
sample122	sample122	1
sample123	sample123	1
sample124	sample124	1
sample125	sample125	1
sample126	sample126	1
sample127	sample127	1
sample128	sample128	1
sample129	sample129	1
sample130	sample130	1
sample131	sample131	1
sample132	sample132	1
sample133	sample133	1
sample134	sample134	1
sample135	sample135	1
sample136	sample136	1
sample137	sample137	1
sample138	sample138	1
sample139	sample139	1
sample140	sample140	1
sample141	sample141	1
sample142	sample142	1
sample143	sample143	1
sample144	sample144	1
sample145	sample145	1
sample146	sample146	1
sample147	sample147	1
sample148	sample148	1
sample149	sample149	1
sample150	sample150	1
sample151	sample151	1
sample152	sample152	1
sample153	sample153	1
sample154	sample154	1
sample155	sample155	1
sample156	sample156	1
sample157	sample157	1
sample158	sample158	1
sample159	sample159	1
sample160	sample160	1
sample161	sample161	1
sample162	sample162	1
sample163	sample163	1
sample164	sample164	1
sample165	sample165	1
sample166	sample166	1
sample167	sample167	1
sample168	sample168	1
sample169	sample169	1
sample170	sample170	1
sample171	sample171	1
sample172	sample172	1
sample173	sample173	1
sample174	sample174	1
sample175	sample175	1
sample176	sample176	1
sample177	sample177	1
sample178	sample178	1
sample179	sample179	1
sample180	sample180	1
sample181	sample181	1
sample182	sample182	1
sample183	sample183	1
sample184	sample184	1
sample185	sample185	1
sample186	sample186	1
sample187	sample187	1
sample188	sample188	1
sample189	sample189	1
sample190	sample190	1
sample191	sample191	1
sample192	sample192	1
sample193	sample193	1
sample194	sample194	1
sample195	sample195	1
sample196	sample196	1
sample197	sample197	1
sample198	sample198	1
sample199	sample199	1
sample200	sample200	1
